1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5d: Color For ,5e: Color Pattern For,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Avian,Plains / Savannah & Hills / Scrub,Uncommon,Large Patch (120+),Small (5-25cm),Creeper Vine,Ordered,Tap,Smooth,Black,N/A,Smooth,Brown,N/A,Smooth,Green,N/A,Broad,Regular Interval,Cordate (Heart Stem in Cleft),Sinuate,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Rough,Yellow,N/A,Seeds,Spore,Water,Pairs,Funnel,Avg. (1-5cm),Oval,Smooth,Terminal,None,Annual (Once),Smooth,White & Green,Translucent,0,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other & Edible,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Acrid,Edible,Dried,N/A,
Woody,Terrestrial,Forest / Jungle,Very Common,Large Patch (120+),Tiny (<5cm),Creeper Vine,Ordered,Tap,Smooth,Silver,N/A,Smooth,Yellow,N/A,Scaly,Green,N/A,Compound,Branch Points,Palmate (Hand-Like),Spiny,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Rough,Yellow,N/A,Seeds,Fruit,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Ground,N/A,
Herbaceous,Aquatic,Salt Water,Very Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Waxy,Yellow,N/A,Waxy,Gold,N/A,Waxy,Black,N/A,Compound,Regular Interval,Poly-Foliate (2-7 Leaflets),Lobate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5) & Pairs (2),Smooth,Blue,N/A,Seeds & Seeds,Fruit,Animal,Bunches,Sphere,Large (5-10cm),Curly,Sticky,Regular Interval,Sweet,Annual (Once),Smooth,Silver,Mimicry,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Juice,Re-Roll,Medicinal / Other,Wash,Re-Roll,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Unique (Extremely Limited Area),Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,None,Fibrous,Smooth,Blue,N/A,Smooth,Yellow,N/A,Rough,Copper,N/A,Compound,Random Interval,Digitate (Finger-Like Lobes),Serate,Hairy,None,Pairs (2),Smooth,Yellow,N/A,Suckers,Grain,Gravity,Spray,Complex,Avg. (1-5cm),Thread,Dusty,Terminal,Musky,Perennial (Yearly),Scaly,Yellow,Blushed,4-9,5+,Predaceous,Gravity,Non-Sentient,N/A,Medicinal / Other,Crushed,Vasodialator,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Medicinal / Other,Fomentation,Vasodialator,
Fungus,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Fibrous,Scaly,Blue,N/A,Flaky,Yellow,N/A,Flaky,Violet,N/A,None & Blades,Terminal,Flabellate (Fan Shaped),Smooth,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Flaky,Green,N/A,Seeds,Spore,Gravity,Other,Funnel,Small (5-10mm),Toothed,Smooth,Random Interval,Foul,Perennial (Yearly),Flaky,Copper,Night Closing,10+,2-4,Parasitic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Algae,Aquatic,Salt Water,Rare,Medium Patch (12-120),Tiny (<5cm),Colonial Mass,Radial,Rhizoid,Smooth,White,N/A,Smooth,Blue,N/A,Smooth,Gold,N/A,None,Terminal,Cuneate (Wedge Accute Base),Dentate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Other,Copper,N/A,Budding / Fragmentation,Spore,Wind,Compound,Bell,Avg. (1-5cm),Wavy,Smooth,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Luminescent,0,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Random,Bulb,Waxy,Gold,N/A,Smooth,Green,N/A,Smooth,Violet,N/A,Broad,Branch Points,Acuminate (Taper to Long Point),Lobate,Waxy,None,Pairs (2),Rough,Brown,N/A,Suckers,Grain,Gravity,Compound,Bell,Small (5-10mm),Round,Smooth,Branch Points & Terminal,Sweet,Annual (Once),Waxy,Red,Spotted,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Rubbed,Antilithic,Nutritious / Tasty,Ground,N/A,
Fungus,Sub-Terrestrial,Plains / Savannah,Very Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,None,Rhizoid,Smooth,Yellow,N/A,Smooth,Brown,N/A,Flaky,Orange,N/A,Needles,Terminal,Cordate (Heart Stem in Cleft),Serrulate,Sticky,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Scaly,Brown,N/A,Seeds,Spore,Animal,Pairs,Bell,Avg. (1-5cm),Round,Hairy,Terminal,Other / Specific,Perennial (Yearly),Rough,Green,Mottled,4-9,2-4,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,
Fungus,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Tiny (<5cm),Stem / Trunk,None,Rhizoid,Smooth,Violet,N/A,Smooth,Orange,N/A,Smooth,White,N/A,Compound,Terminal,Rhomboid (Diamond),Ciliate,Sticky,None,Whorls (3-5),Smooth,Black,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,None,Non-Sentient,N/A,Medicinal / Other,Rubbed,Appetizer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Euphoriant,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Salt Water,Very Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,None,Tap,Other,Silver,N/A,Waxy,Gold,N/A,Flaky,Orange,N/A,None,Random Interval,Rhomboid (Diamond),Dentate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Orange,N/A,Seeds,Fruit,Animal,Pairs,Bell,Large (5-10cm),Curly,Dusty,Random Interval,Sweet,Other,Smooth,Orange,Patches,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Medicinal / Other,Powder,Stimulant,
Woody,Terrestrial,Plains / Savannah,Very Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Ordered,Fibrous,Rough,Silver,N/A,Rough,Yellow,N/A,Smooth,Red,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Undulate,Smooth,Reticulate (Smaller Veins Forming a Network),Singles (1),Rough,Green,N/A,Seeds,Nut,Animal,Spray,Bell,Avg. (1-5cm),Wavy,Hairy,Terminal,None,Perennial (Yearly),Rough,Violet,Solid,0,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Powder,Vermifuge,
Algae,Terrestrial,Forest / Jungle,Rare,Small Patch (1-12),Large (1-10m),Colonial Mass,Random,None,Smooth,White,N/A,Other,Black,N/A,Scaly,Green,N/A,None & None,Random Interval,Pedate (Palmate Divided Latteral Lobes),Smooth,Hairy,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Brown & Green,Blushed,Budding / Fragmentation,Spore,Animal,Compound,Bell,Small (5-10mm),Round,Dusty,Random Interval,Musky,Annual (Once),Scaly,Copper,Solid & Mimicry,4-9,0,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Very Rare,Medium Patch (12-120),Tiny (<5cm),Multiple Stems / Trunks,Radial,Tap,Smooth,Brown,N/A,Scaly,Yellow,N/A,Smooth,Blue,N/A,Broad,Terminal,Truncate (Squared off Apex),Sinuate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Grey,N/A,Seeds,Fruit,Water,Single,Bell,Avg. (1-5cm),Blade,Smooth,Regular Interval,Musky,Poly-Annual (2-7 Years),Smooth,Yellow,Solid,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Bitter Tonic,Edible,Boiled,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Grated,Bitter,
Woody,Aquatic,Salt Water,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Advantageous,Scaly,Brown,N/A,Other,Red,N/A,Rough,Grey,N/A,Blades,Branch Points,Acuminate (Taper to Long Point),Serate,Waxy,None,Clusters (6+),Rough,Gold,N/A,Seeds,Fruit,Gravity,Pairs,Bell,Small (5-10mm),Curly,Smooth,Regular Interval,Sweet,Annual (Once),Rough,Green,Translucent,1-3,5+,Decay,Touch,Non-Sentient,N/A,Medicinal / Other,Bath,Vulnerary,Medicinal / Other,Ground,Detergent,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Fomentation,Deodorant,Medicinal / Other,Cold Compress,Re-Roll,Nutritious / Tasty,Dried,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Random,Tap,Smooth,Orange,N/A,Waxy,Green,N/A,Smooth,Copper,N/A,Broad,Random Interval,Lobed (Deeply Indented Margins),Smooth,Scaly,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Waxy,White,N/A,Seeds,Fruit,Animal,Single,Bell,Avg. (1-5cm),Curly,Sticky,Regular Interval,Foul,Annual (Once),Smooth,Brown,Solid,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Juice,Re-Roll,Edible,Ground,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Large Patch (120+),Large (1-10m),Creeper Vine,Radial,Tap,Scaly,Blue & Brown,Phases,Waxy,Copper,N/A,Scaly,Brown,N/A,Broad,Terminal,Flabellate (Fan Shaped),Lobate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+) & Clusters (6+),Waxy,Gold,N/A,Seeds,Fruit,Wind,Bunches,Spike,Tiny (<5mm),Oval,Hairy,Random Interval,Sweet,Other,Rough,Yellow,Mimicry,1-3,1,Photo / Chemo-Synthetic,Motile,Non-Sentient,N/A,Edible,Dried,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Tincture,Anthelmintic,Medicinal / Other,Fomentation,Depurative,Nutritious / Tasty,Blanched,N/A,Medicinal / Other,Cold Extract,Demulcent,
Fungus,Terrestrial,Forest / Jungle & Hills / Scrub,Uncommon,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Rhizoid,Smooth,Yellow,N/A,Smooth,Brown,N/A,Scaly,Violet,N/A,Blades,Terminal,Obcordate (Heart Stem at Point),Serate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Other,Yellow,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Heat,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Hills / Scrub,Rare,Solitary (1-2),Tiny (<5cm),Colonial Mass,None,Rhizoid,Smooth,Orange,N/A,Smooth,Yellow,N/A,Smooth,Red,N/A,Compound,Terminal,Flabellate (Fan Shaped),Serate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Flaky,Copper,N/A,Seeds,Grain,Animal,Spray,Bell,Avg. (1-5cm),Toothed,Veined,Random Interval,Sweet,Annual (Once),Smooth,Copper,Stripes,1-3,1,Decay,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Rare,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Rough,Gold,N/A,Waxy,Green,N/A,Waxy,Copper,N/A,Broad,Branch Points,Palmate (Hand-Like),Dentate & Lobate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Smooth,Brown & Silver,Mottled,Suckers,Spore,Wind,Pairs,Cone,Avg. (1-5cm),Thread,Waxy,Regular Interval,None,Annual (Once),Smooth,Violet,Spotted,10+,5+,Decay,Light,Non-Sentient,N/A,Edible,Dried,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Crushed,Antiemetic,Edible,Roasted,N/A,
Algae,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Average (25cm-1m),Colonial Mass,Ordered,None,Other,Silver,N/A,Smooth,Black,N/A,Smooth,Red & Silver,Luminescent,None,Terminal,Palmate (Hand-Like),Dentate,Waxy,Reticulate (Smaller Veins Forming a Network),Singles (1),Smooth,Orange,N/A,Budding / Fragmentation,Spore,Animal,Spray,Disc,Avg. (1-5cm),Curly,Waxy,Regular Interval,Musky,Other,Scaly,Green,Solid,0,0,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Tiny (<5cm),Stem / Trunk & Stem / Trunk,None,Bulb,Smooth,Black,N/A,Smooth,Violet,N/A,Flaky,Red,N/A,Blades,Terminal,Deltoid (Triangular),Undulate,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Rough,Green,N/A,Seeds,Spore,Animal,Other,Complex,Large (5-10cm),Feathery,Sticky,Terminal,Musky,Annual (Once),Scaly,White,Stripes,10+,2-4,Decay,None,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Decoction,Irritant,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Tubers,Smooth,Blue,N/A,Smooth,Brown,N/A,Smooth,Green,N/A,Blades,Random Interval,Lanceolate (Pointed at Both Ends),Spiny,Error: Roll Out of Range,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,Green,N/A,Budding / Fragmentation,Fruit,Animal,Single,Sphere,Small (5-10mm),Curly,Hairy,Branch Points,Sweet,Perennial (Yearly),Smooth,Green,Mimicry,4-9,1,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Wash,Depurative,
Herbaceous,Aquatic,Fresh Water,Common,Large Patch (120+),Average (25cm-1m),Creeper Vine,Random,Fibrous,Rough,Green,N/A,Smooth,Yellow,N/A,Flaky,Gold,N/A,Broad,Branch Points,Acuminate (Taper to Long Point),Undulate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Smooth,Red,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity,Non-Sentient,N/A,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Diaphoretic,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,Random,Fibrous,Smooth,Brown,N/A,Smooth,Red,N/A,Flaky,White,N/A,Broad,Stem / Trunk,Falcate (Sickle),Serrulate,Waxy,None,Clusters (6+),Smooth,Yellow,N/A,Suckers,Fruit,Animal,Pairs,Bell,Huge (>10cm),Oval,Smooth,Branch Points,Sweet,Perennial (Yearly),Waxy,Silver,Iridescent,10+,1,Symbiotic,Light,Non-Sentient,N/A,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Infusion,Adjuvant,Medicinal / Other,Fomentation,Vulnerary,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Smooth,Green,N/A,Rough,Silver & Green,Iridescent,Smooth,Brown,N/A,Broad,Random Interval,Cuneate (Wedge Accute Base),Crenate,Hairy,Reticulate (Smaller Veins Forming a Network),Singles (1),Smooth,Brown,N/A,Seeds,Fruit,Animal,Other,Disc,Large (5-10cm),Wavy & Wavy,Waxy,Branch Points,Other / Specific,Annual (Once),Smooth,Gold,Solid,10+,2-4,Other,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Cold Extract,Acrid,Medicinal / Other,Bath,Nephretic,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Tincture,Appetizer,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Random,Bulb,Smooth,Yellow,N/A,Smooth,Black,N/A,Smooth,Green,N/A,Broad,Branch Points,Digitate (Finger-Like Lobes),Undulate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Waxy,Red,N/A,Seeds,Fruit,Water,Spray,Complex,Small (5-10mm),Oval,Hairy,Regular Interval,Sweet,Perennial (Yearly),Waxy,Brown,Spotted,10+,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Ground,Poison,Medicinal / Other,Rubbed,Aphrodesiac,Medicinal / Other,Bath,Depurative,N/A,N/A,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Roasted,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Fibrous,Smooth,Copper,N/A,Smooth,White,N/A,Waxy,Green,N/A,Needles,Terminal,Cuneate (Wedge Accute Base),Serrulate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Waxy,Green,N/A,Seeds,Fruit,Animal,Other,Cone,Avg. (1-5cm),Wavy,Dusty,Terminal,Other / Specific,Annual (Once),Other,Brown,Blushed,4-9,1,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Other,Counterirritant,Medicinal / Other,Cold Compress,Mucilaginous,
Herbaceous,Terrestrial,Plains / Savannah,Very Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Tap,Other,Grey,N/A,Smooth,Black,N/A,Smooth,Green,N/A,Broad,Regular Interval,Deltoid (Triangular),Denticulate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Other,Yellow,N/A,Seeds,Grain,Animal,Spray,Sphere,Avg. (1-5cm),Toothed,Waxy,Random Interval,Sweet,Annual (Once),Smooth,Black,Phases,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Edible,Steeped,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Smooth,Brown,N/A,Waxy,White & Yellow,Stripes,Smooth,Red,N/A,Broad,Regular Interval,Obtuse (Bluntly Tipped),Ciliate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,Green,N/A,Seeds,Fruit,Animal,Single,Complex,Avg. (1-5cm),Wavy,Velvety,Stem / Trunk,Sweet,Annual (Once),Smooth,Green,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Ointment,Diuretic,Non-Edible,N/A,N/A,Medicinal / Other,Poultice,Euphoriant,N/A,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Crushed,Cholagouge,
Herbaceous,Aquatic,Fresh Water,Rare,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,None,Fibrous,Other,Blue,N/A,Smooth,Gold,N/A,Smooth,Silver,N/A,Needles,Random Interval,Subulate (Awl),Lobate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Red,N/A,Seeds,Grain,Water,Spray,Spike,Small (5-10mm),Round,Velvety,Branch Points,Sweet,Perennial (Yearly),Smooth,Brown,Spotted & Spotted,10+,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Tincture,Errihine,Medicinal / Other,Fomentation,Vermicide,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Syrup,Carminative,Medicinal / Other,Wash,Stimulant,
Algae,Aquatic,Brackish,Very Common,Solitary (1-2),Small (5-25cm),Colonial Mass,Radial,Tubers,Rough,Green,N/A,Smooth,Green,N/A,Waxy,Blue,N/A,None,Random Interval,Palmate (Hand-Like),Serate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Smooth,Black,N/A,Budding / Fragmentation,Spore,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,None,Tap,Smooth,Yellow,N/A,Smooth,Green,N/A,Waxy,Green,N/A,Broad,Terminal,Ovate (Egg Wide at Base),Smooth,Smooth,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Copper,N/A,Seeds,Spore,Animal,Spray,Disc,Tiny (<5mm),Wavy & Round,Velvety,Stem / Trunk,Sweet,Annual (Once),Smooth,Blue,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Ground,Re-Roll,Medicinal / Other,Ground,Antifungal,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Decoction,Antiseptic,Edible,Roasted,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Scaly,Green,N/A,Smooth,Green,N/A,Smooth,Black,N/A,Broad,Branch Points,Hastatae (Triangular Basal Lobes),Lobate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Smooth,Violet,N/A,Budding / Fragmentation,Grain,Gravity,Spray,Bell,Small (5-10mm),Thread,Scaly,Terminal,Sweet,Annual (Once),Waxy,Green,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Nutritious / Tasty,Blanched,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Powder,Appetizer,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,None,Rhizoid,Waxy,Green,N/A,Smooth,Brown,N/A,Smooth,Green,N/A,Broad,Terminal,Palmate (Hand-Like),Denticulate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Yellow,N/A,Seeds,Grain,Wind,Pairs,Funnel,Avg. (1-5cm),Feathery,Velvety & Dusty,Regular Interval,Sweet,Perennial (Yearly),Waxy,Green,Solid,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Tincture,Vermifuge,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Hypnotic,Non-Edible,N/A,N/A,
